session_id,t_ms,label,kb_trust,mouse_trust,behavioural_trust,face_trust,fused_trust,action
aca194a4-b026-44b1-ab04-c95cac40150a,1779422138962,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422139104,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422139256,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422139407,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422139551,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422139701,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422139854,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187526,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422140003,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422140155,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187525,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422140305,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187524,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422140452,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187524,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422140605,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187524,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422140761,-1,0.0,0.7357102345187525,0.7357102345187525,0.0,0.7357102345187523,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422140911,-1,0.0,0.7357102345187525,0.7357102345187525,0.9057894563674928,0.7405696408572878,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422141058,-1,0.0,0.7357102345187525,0.7357102345187525,0.9057894563674928,0.7447811263506853,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422141212,-1,0.0,0.7357102345187525,0.7357102345187525,0.9057894563674928,0.7484661761574081,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422141807,-1,0.0,0.7357102345187525,0.7357102345187525,0.9094097948074341,0.7518028751266326,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422141960,-1,0.0,0.7357102345187525,0.7357102345187525,0.9094097948074341,0.7547688297659432,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422142127,-1,0.0,0.7357102345187525,0.7357102345187525,0.9113856172561646,0.7574641749158261,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422142259,-1,0.0,0.7357102345187525,0.7357102345187525,0.9113856172561646,0.7598899855507206,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422142403,-1,0.0,0.7357102345187525,0.7357102345187525,0.9113856172561646,0.7620847666013395,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422142559,-1,0.0,0.7357102345187525,0.7357102345187525,0.9113856172561646,0.7640800221019023,ALLOW
aca194a4-b026-44b1-ab04-c95cac40150a,1779422142708,-1,0.0,0.7357102345187525,0.7357102345187525,0.9183444476127625,0.7660228002607915,ALLOW
